Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"The Fine Jewellery Industry: Corporate Responsibility Challenges and Institutional Forces Facing SMEs.","Carrigan, Marylyn; McEachern, Morven; Moraes, Caroline; Bosangit, Carmela","Journal of Business Ethics",="01674544",,="Jul2017","143","4","681","19","124029715","10.1007/s10551-016-3071-4","Springer Nature","Article","Social responsibility of business; Jewelry industry; Small business; Jewelry Stores; Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers; Jewelry and Silverware Manufacturing; Jewellery and watch merchant wholesalers; Institutional theory (Sociology); Jewelry; Ethics","Corporate responsibility; Harm chain; Institutional theory; Jewellery; SME","There has been limited coverage of the corporate responsibility (CR) practices of small and medium-sized enterprises (SMEs) in the mainstream CR literature. Furthermore, there has been no systematic analysis of the responsibilities of the high value jewellery industry and jewellery SMEs in particular. This study explores the potential for harm and value creation by individual stakeholders in fine jewellery production. Using the harm chain and institutional theory to frame our investigation, we seek to understand how small businesses within the fine jewellery industry respond to the economic, social and environmental challenges associated with responsible jewellery production, and to investigate how they perceive and negotiate the tensions between responsibility and the resistance derived from the operational norms of secrecy and autonomy within the industry. Our exploratory research provides illustrative examples of how complex harm networks operate within and across the fine jewellery industry, and demonstrates the inter-relationships that exist across the different stages of the fine jewellery harm chain. Findings suggest that institutional forces are coalescing towards a more responsible agenda for the fine jewellery industry. Moreover, while CR is a tool to disrupt harmful institutional norms and practices within such an industry, it requires the co-creation of new transformative business models and multi-stakeholder involvement including firms (SMEs and MNEs), trade associations, non-governmental organisations and consumers. Solutions include national and international legislation, price adjusted certification routes for small firms, harmonisation of industry CR standards to reduce overlap in certification and regulation and gem and precious metal 'track and trace' schemes. [ABSTRACT FROM AUTHOR] Copyright of Journal of Business Ethics is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=124029715&site=ehost-live"
"Optimizing Two-Sided Promotion for Transportation Network Companies: A Structural Model with Conditional Bayesian Learning.","Zheng, Jinyang; Ren, Fei; Tan, Yong; Chen, Xi","Information Systems Research",="10477047",,="Sep2020","31","3","692","23","146010354","10.1287/isre.2019.0908","INFORMS: Institute for Operations Research","Article","Ridesharing services; Promotions; Quality of service; All Other Support Activities for Transportation; Structural models; Automobile driving simulators; Learning","Bayesian learning; structural model; transportation network companies; two-sided sales promotion","Practice- and Policy-Oriented Abstract This research investigates the economic value of the new and essential features of transportation network companies (TNCs) and the effectiveness of running a two-sided sales promotion to help introduce those new features. We estimate the marginal economic values generated by the features of passenger matching, order cancellation, and online pay, thus shedding light on the TNC app attributions and designs. We further find that drivers underperceive the values of those features initially and need more usage experience to correct the bias. This finding demonstrates the significant role of usage experience in alleviating bias from uncertainty and supports the common industry practice of enhancing usage experience during product introduction. Our study also shows that the substantial value of early promotion not only encourages current usage but also fosters learning that sustains drivers' continued use of the app. Additional insights that, for example, cashback for passengers affects the decisions of drivers, and platform subsidy and bids from passengers might signal low quality of service can help the managers of newly introduced products better design sales promotions in a more effective way. The mobile app of a transportation network company (TNC) has reshaped the taxi business model by providing new features and allowing the TNC platform to run a diverse two-sided sales promotion to help introduce those new features. We investigate the economic value of this app and how drivers build an initial preference for passenger matching, the cancellation feature, and online pay as well as how a two-sided sales promotion affects drivers' willingness to use the TNC app. We estimate a structural model of drivers' decisions to accept orders and to cancel generated orders and their perception of passengers' willingness to utilize a sales promotion. Bayesian learning processes are introduced to account for drivers' learning new features. We find evidence of the economic value of new features on a TNC app and drivers' learning about the value of those features. Our results show that a platform subsidy and bids from passengers might signal low quality of service, and that platform cashback to passengers has a positive effect on drivers by increasing drivers' chances of being rewarded. Our results further indicate that the substantial value of early promotion not only encourages current usage but also fosters learning that sustains drivers' continued use of the app, and show how cashback for passengers affects the decisions of drivers. Finally, our policy simulations show improved performance with regard to drivers' willingness to use the app as well as its cost effectiveness. [ABSTRACT FROM AUTHOR] Copyright of Information Systems Research is the property of INFORMS: Institute for Operations Research and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=146010354&site=ehost-live"
"OM Forum—Distributed Ledgers and Operations: What Operations Management Researchers Should Know About Blockchain Technology.","Babich, Volodymyr; Hilary, Gilles","Manufacturing & Service Operations Management",="15234614",,="Mar/Apr2020","22","2","223","18","142140832","10.1287/msom.2018.0752","INFORMS: Institute for Operations Research","Article","Operations management; Inventory control; Technology; Process, Physical Distribution, and Logistics Consulting Services; All Other Support Services; Forums; Definitions","digital assets; information aggregation; resiliency; smart contracts; validation; visibility","Problem definition: Blockchain is a form of distributed ledger technology. While it has grown in prominence, its full potential and possible downsides are not fully understood yet, especially with respect to operations management (OM). Academic/practical relevance: This article fills this gap. Methodology: After briefly reviewing the technical foundations, we explore multiple business and policy aspects. Results: We identify five key strengths, the corresponding five main weaknesses, and three research themes of applying blockchain technology to OM. The key strengths are (1) visibility, (2) aggregation, (3) validation, (4) automation, and (5) resiliency. The corresponding weaknesses are (1) lack of privacy, (2) lack of standardization, (3) garbage in, garbage out, (4) black box effect, and (5) inefficiency. The three research themes are (1) information, (2) automation, and (3) tokenization. Managerial implications: We illustrate these research themes with multiple promising research problems, ranging from classical inventory management, to new areas of ethical OM, and to questions of industrial organization. [ABSTRACT FROM AUTHOR] Copyright of Manufacturing & Service Operations Management is the property of INFORMS: Institute for Operations Research and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=142140832&site=ehost-live"
"Exploring the Nexus Between Human Capital, Corporate Governance and Performance: Evidence from Islamic Banks.","Nawaz, Tasawar","Journal of Business Ethics",="01674544",,="Jun2019","157","2","567","21","136914937","10.1007/s10551-017-3694-0","Springer Nature","Article","Organizational performance; Human capital; Corporate governance; Business models; Market value; Financial crises; Islamic finance","Applied ethics; Financial crisis; Human capital investment; Islamic banks; Market performance","This paper offers novel insight into the Islamic banking business model by considering the effect of investments in human capital and corporate governance features on the market performance of Islamic banks. Based on a sample of 47 banks (30 full-fledged Islamic banks and 17 Islamic Shariah-windows) operating in different regions during the 2005–2010 period, and controlling for firm-specific characteristics, this paper finds investments in human capital to have a significant positive impact on the market value in the pre- and post-financial crisis period. Based on a market measure, this paper finds board size and CEO power to have a significant positive impact, while the size of Shariah Supervisory Board (SSB) has the opposite effect on market performance. The results further reveal that the Islamic banking sector is not a homogeneous group, with full-fledged Islamic banks having lax corporate governance mechanisms and large size, while their counterparts, Islamic Shariah-windows, having strong corporate governance mechanisms tend to invest more in human capital to yield positive market value. Overall, the analysis suggests that the financial crisis may have further spurred the impact of investments in human capital on the market performance. [ABSTRACT FROM AUTHOR] Copyright of Journal of Business Ethics is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=136914937&site=ehost-live"
"Understanding the influence of absorptive capacity and ambidexterity on the process of business model change - the case of on-premise and cloud-computing software.","Kranz, Johann J.; Hanelt, André; Kolbe, Lutz M.","Information Systems Journal",="13501917",,="Sep2016","26","5","477","41","117419006","10.1111/isj.12102","Wiley-Blackwell","Article","Computer software industry -- Customer services; Business planning; Enterprise resource planning; Organizational change; Software publishers (except video game publishers); Custom Computer Programming Services; Software Publishers; Computer, computer peripheral and pre-packaged software merchant wholesalers; Computer and software stores; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers; Diffusion of innovations theory","absorptive capacity; business model change; cloud computing; disruptive innovation; organisational ambidexterity; Software as a Service","The increasing popularity of Software as a Service has strongly affected the established business model of on-premise enterprise software. Software as a Service has distinctive characteristics of disruptive innovations that typically create several difficulties for incumbent firms, in particular with regard to adapting business models. To date, however, little empirical understanding exists regarding the dynamics of business model change - a topic of special importance to the highly dynamic software industry, which is characterised by rapid and regular emergence of disruptive innovations. As disruptive innovations require gathering distant knowledge and experimenting with new ideas, this study addresses theoretical gaps regarding the role of absorptive capacity and organisational ambidexterity in the process of business model change owing to the emergence of a disruptive innovation. Drawing on evidence from multiple case studies of six incumbent vendors of enterprise resource-planning software and informed by a thorough review of related secondary data, we investigate the pace and path of incumbents' business model adaptations. We propose a theoretical model that refines prior literature on absorptive capacity and organisational ambidexterity, particularly with regard to the process of business model change. This study identifies further technological factors that determine how and why incumbents change business models. In addition, our study provides in-depth insights on the technological trajectory of enterprise resource-planning software switching from on-premise to on-demand software services. © 2016 Blackwell Publishing Ltd [ABSTRACT FROM AUTHOR] Copyright of Information Systems Journal is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=117419006&site=ehost-live"
"Business Model Innovation Performance: When does Adding a New Business Model Benefit an Incumbent?","Kim, Stephen K.; Min, Sungwook","Strategic Entrepreneurship Journal",="19324391",,="Mar2015","9","1","34","24","101384708","10.1002/sej.1193","Wiley-Blackwell","Article","Business models; Entrepreneurship; Retail industry; Internet stores; Strategic planning; All other miscellaneous general merchandise stores; All Other Miscellaneous Store Retailers (except Tobacco Stores); All other miscellaneous store retailers (except beer and wine-making supplies stores)","business model Innovation; complementary assets; conflicting assets; discriminating alignment","Many incumbent firms respond to the emergence of a disruptive business model by adding the business model into their existing ones. But, not all incumbents perform better after adding new business models to their existing ones; that raises the question about the conditions under which adding a new business model improves incumbent performance. We develop a theoretical framework to address that question. After identifying two types of incumbent assets, complementary and conflicting, we highlight the influence of two managerial choices-timing and organizational mode of the new business model addition-that create opportunities to translate the potential provided by incumbent assets into higher performance. The proposed discriminating alignment thesis states that incumbent performance after new business model addition improves when the incumbent firm aligns complementary assets with earlier addition of the new business model and conflicting assets with an autonomous business unit for the new business model. To test these hypotheses, we analyzed the performance change of those physical store-based retailers that added online retailing as a new business model. The test results supported all hypotheses, and key theoretical and managerial implications are presented. Copyright © 2015 Strategic Management Society. [ABSTRACT FROM AUTHOR] Copyright of Strategic Entrepreneurship Journal is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=101384708&site=ehost-live"
"Industry 4.0: Opportunities and Challenges for Operations Management.","Olsen, Tava Lennon; Tomlin, Brian","Manufacturing & Service Operations Management",="15234614",,="Jan/Feb2020","22","1","113","10","141156727","10.1287/msom.2019.0796","INFORMS: Institute for Operations Research","Article","Industry 4.0; Operations management; Cyber physical systems; Artificial intelligence; Internet of things","additive manufacturing; artificial intelligence; blockchain; internet of things; robotics","Industry 4.0 connotes a new industrial revolution centered around cyber-physical systems. It posits that the real-time connection of physical and digital systems, along with new enabling technologies, will change the way that work is done and therefore, how work should be managed. It has the potential to break, or at least change, the traditional operations trade-offs among the competitive priorities of cost, flexibility, speed, and quality. This article describes the technologies inherent in Industry 4.0 and the opportunities and challenges for research in this area. The focus is on goods-producing industries, which includes both the manufacturing and agricultural sectors. Specific technologies discussed include additive manufacturing, the internet of things, blockchain, advanced robotics, and artificial intelligence. [ABSTRACT FROM AUTHOR] Copyright of Manufacturing & Service Operations Management is the property of INFORMS: Institute for Operations Research and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=141156727&site=ehost-live"
"PROFITS AT THE BOTTOM OF THE PYRAMID.","SIMANIS, ERIK; DUKE, DUNCAN","Harvard Business Review",="00178012",,="Oct2014","92","10","86","8","98407147",,"Harvard University","Article","Social responsibility of business; Social impact; Consumer behavior; Target marketing; New product development; Market entry; Marketing Consulting Services; Poor people",,"The best way for companies to improve the lives of the world’s poorest people--those at the bottom of the pyramid--is to focus first on doing good business, not just on doing good. That’s the contention of the authors, who say that a steady flow of profits from manageable ventures will pave the way for later investments in more-ambitious socially beneficial projects. The authors cite two main challenges in selling profitably to the bottom of the pyramid: changing consumers’ behavior and changing the way products are made and delivered. To help companies see how these challenges affect various business prospects, they have developed an “opportunity map” that classifies opportunities along a spectrum from the least complex and resource-intensive to the most. At the simplest end are targeted marketing opportunities in mature markets. In the middle are opportunities in growth markets: efforts to redesign products, extend distribution channels, or create new ones. At the other end of the spectrum are frontier-market ventures to develop new products, conquer competitors’ markets, expand into greenfield markets, develop new business models, or create altogether new markets. The authors present examples of each type and explain that companies can pursue multiple opportunities simultaneously. If they choose wisely, they can make profits and advance their social missions at the same time. [ABSTRACT FROM AUTHOR] Copyright 2014 Harvard Business Publishing. All Rights Reserved. Additional restrictions may apply including the use of this content as assigned course material. Please consult your institution's librarian about any restrictions that might apply under the license with your institution. For more information and teaching resources from Harvard Business Publishing including Harvard Business School Cases, eLearning products, and business simulations please visit hbsp.harvard.edu. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=98407147&site=ehost-live"
"The Implications of COVID‐19 for Nonmarket Strategy Research.","Lawton, Thomas C.; Dorobantu, Sinziana; Rajwani, Tazeeb S.; Sun, Pei","Journal of Management Studies (John Wiley & Sons, Inc.)",="00222380",,="Dec2020","57","8","1732","5","147132478","10.1111/joms.12627","John Wiley & Sons, Inc.","Article","Research; Strategic planning; COVID-19 pandemic; Business models; Awareness","corporate political activity; corporate social responsibility; COVID‐19; nonmarket strategy","The article discusses the impact of the COVID-19 pandemic on industries, supply chains, work, communication, and institutional frameworks; and the consideration of changes in core assumptions of nonmarket strategy research. Topics include the need of an proactive political and social awareness and engagement that must be aligned with strategic business objectives.","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=147132478&site=ehost-live"
"Sustainability Marketing Commitment: Empirical Insights About Its Drivers at the Corporate and Functional Level of Marketing.","Tollin, Karin; Christensen, Lars Bech","Journal of Business Ethics",="01674544",,="Jun2019","156","4","1165","21","136504138","10.1007/s10551-017-3591-6","Springer Nature","Article","Corporate sustainability; Marketing; Industrial marketing; Green marketing; Marketing strategy; Organizational commitment; Marketing Consulting Services","Marketing capabilities; Marketing's influence; Strategic orientations; Sustainability marketing","Corporate sustainability is an important strategy and value orientation for marketing, but scarce research addresses the organizational drivers and barriers to including it in companies' marketing strategies and processes. The purpose of this study is to determine levels of commitment to corporate sustainability in marketing, processes associated with sustainability marketing commitment, drivers of sustainability marketing at the functional level of marketing, and its organizational context. Using survey data from 269 managers in marketing, covering a broad range of industries in Sweden and Denmark, we took a structural modelling approach to examine construct relationships, mediation, and moderation effects. Overall, the findings show that marketing capabilities associated with the innovation of new products, services, and business models constitute a strong driver to leverage sustainability marketing commitment. In conjunction with insights into processes related to the enactment of sustainability marketing, this result indicates that companies' marketing departments have a propensity to drive corporate sustainability. The study provides substance to the idea of aligning substantive marketing capabilities closer to dynamic capabilities. Accordingly, the study reveals that reliance on market orientation alone does not lead to greater sustainability commitment. [ABSTRACT FROM AUTHOR] Copyright of Journal of Business Ethics is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=136504138&site=ehost-live"
"The Emergence of Proto‐Institutions in the New Normal Business Landscape: Dialectic Institutional Work and the Dutch Drone Industry.","Smolka, Katrin M.; Heugens, Pursey P. M. A. R.","Journal of Management Studies (John Wiley & Sons, Inc.)",="00222380",,="May2020","57","3","626","38","142558708","10.1111/joms.12540","John Wiley & Sons, Inc.","Article","Entrepreneurship; Businesspeople; Technological innovations; Business models; Economic development","(dialectic) institutional work; drones; entrepreneurship; industry emergence; New Normal; proto‐institutions","In the current business landscape, in which technology‐enabled entrepreneurship is part of the New Normal, regulatory institutional structures are in constant flux. Previous studies have framed the challenges facing entrepreneurs in mature organizational fields as avoiding the power of overbearing regulators long enough to establish the legitimacy of their ventures. In fields typified by New Normal conditions, however, regulatory frameworks for evaluating new technology‐enabled ventures are often still lacking. Regulators may choose to actively reach out to entrepreneurs to arrive at a better understanding of the radical technological changes and high‐frequency entrepreneurial behavioural adaptations that occur in these settings. To grasp how novel regulatory institutional structures come about in the New Normal business landscape, we conducted a processual study of the emergence of a new technology that is the Dutch remotely piloted aircraft systems (drone) industry between 2000 and 2018. Our findings show that regulatory proto‐institutions result from dialectic institutional work in the form of structured interactions between entrepreneurs and regulators. Specifically, we present a process model that reveals how new regulatory structures evolve in contexts where high levels of technological and behavioural change induce systemic uncertainty, and enlarge the interdependence between entrepreneurs and regulators. We suggest that our process theory of proto‐institutional emergence generalizes towards other organizational fields in which technology‐enabled entrepreneurship has become the main driver of growth. Theoretically, our findings speak to the literatures on institutional work, proto‐institutional emergence, and the New Normal business landscape. [ABSTRACT FROM AUTHOR] Copyright of Journal of Management Studies (John Wiley & Sons, Inc.) is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=142558708&site=ehost-live"
"Personalized Ad in Your Google Glass? Wearable Technology, Hands-Off Data Collection, and New Policy Imperative.","Park, Yong; Skoric, Marko","Journal of Business Ethics",="01674544",,="Apr2017","142","1","71","12","122457900","10.1007/s10551-015-2766-2","Springer Nature","Article","Google Glass; Internet privacy; Business models; Web personalization; Technology & ethics; Digital footprint; Internet usage monitoring","Algorithm-based business model; Database-marketing surveillance; New media policy; Personalization; Privacy; Wearable technology","This study analyzes the increasing presence and capabilities of wearable computing devices in the cornucopia of personalized digital data. We argue that the institutional data practices typical of Google Glass will pose policy challenges and herald yet another dramatic shift to personalized data marketing. We also highlight the characteristics of Google's existing synergetic data practices that will shape the development of not only Google Glass, but also all subsequent wearable mobile devices in light of 360-degree data collection. The key organizing concept of our study is the disjuncture between (1) institutional and (2) policy forces in harnessing dual market mechanism, which frames how the new communication industry operates in the marketplace of ubiquitous personal advertising. We conclude by summarizing the three key areas of political-policy concern (privacy; anti-trust; and user competence) and suggest future solutions, with the discussion on the future of wearable computing practices related to the freedom of the human body. [ABSTRACT FROM AUTHOR] Copyright of Journal of Business Ethics is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=122457900&site=ehost-live"
"Profiting from innovation in the digital economy: Enabling technologies, standards, and licensing models in the wireless world.","Teece, David J.","Research Policy",="00487333",,="Oct2018","47","8","1367","21","129924739","10.1016/j.respol.2017.01.015","Elsevier B.V.","Article","Data mining; Technological innovations; Business models; Supply chain management; Corporate profits","Appropriability; Complementarity; General-purpose technology; Licensing; Platform; Standards; Technology policy","The value-capture problem for innovators in the digital economy involves some different challenges from those in the industrial economy. It inevitably requires understanding the dynamics of platforms and ecosystems. These challenges are amplified for enabling technologies, which are the central focus of this article. The innovator of an enabling technology has a special business model challenge because the applicability to many downstream verticals forecloses, as a practical matter, ownership of all the relevant complements. Complementary assets (vertical and lateral) in the digital context are no longer just potential value-capture mechanisms (through asset price appreciation or through preventing exposure to monopolistic bottleneck pricing by others); they may well be needed simply for the technology to function. Technological and innovational complementors present both coordination and market design challenges to the innovator that generally lead to market failure in the form of an excess of social over private returns. The low private return leads to socially sub-optimal underinvestment in future R&D that can be addressed to some extent by better strategic decision-making by the innovator and/or by far-sighted policies from government and the judiciary. The default value-capture mechanism for many enabling technologies is the licensing of trade secrets and/or patents. Licensing is shown to be a difficult business model to implement from a value-capture perspective. When injunctions for intellectual property infringement are hard to win, or even to be considered, the incentives for free riding by potential licensees are considerable. Licensing is further complicated if it involves standard essential patents, as both courts and policy makers may fail to understand that development of a standard involves components of both interoperability and technology development. If a technology standard is not treated as the embodiment of significant R&D efforts enabling substantial new downstream economic activity, then rewards are likely to be calibrated too low to support appropriate levels of future innovation. [ABSTRACT FROM AUTHOR] Copyright of Research Policy is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=129924739&site=ehost-live"
"An Economic Analysis of Consumer Learning on Entertainment Shopping Websites.","Jin Li; Zhiling Guo; Tso, Geoffrey","Journal of the Association for Information Systems",="15369323",,="2019","20","4","285","32","136234490","10.17705/1jais.00536","Association for Information Systems","Article","Consumer behavior; Economic research; Internet auctions; Big data; Research and Development in the Social Sciences and Humanities; Electronic shopping and mail-order houses; Electronic Auctions; Observational learning","Bayesian Statistics; Consumer Learning; Dynamic Structural Model; Maximum Likelihood Estimation; Pay-to-Bid Auction","Online entertainment shopping, normally supported by the pay-to-bid auction mechanism, represents an innovative business model in e-commerce. Because the unique selling mechanism combines features of shopping and online auction, consumers expect both monetary return and entertainment value from their participation. We propose a dynamic structural model to analyze consumer behaviors on entertainment shopping websites. The model captures the consumer learning process, based both on individual participation experiences and also on observational learning of historical auction information. We estimate the model using a large data set from an online entertainment shopping website. Results show that consumers' initial participation incentives mainly come from a significant overestimation of the entertainment value and an obvious underestimation of the auction competition. Both types of learning contribute to a general decreasing participation trend among consumers over time. Our model provides both a theoretical explanation and empirical evidence of the consumer churn issue. It further identifies two groups of consumers with different risk characteristics: One group is risk-averse and quits using the website before effective learning takes place, while the other group exhibits risk-seeking behavior and overly commits to the auction games. Based on the estimated parameters of the model, we perform counterfactual analyses to evaluate the effects of policy changes on consumers' participation behaviors. We discuss several important design implications and recommend strategies for building a sustainable business model in the entertainment shopping industry. [ABSTRACT FROM AUTHOR] Copyright of Journal of the Association for Information Systems is the property of Association for Information Systems and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=136234490&site=ehost-live"
"Leveraging virtual business model innovation: a framework for designing business model development tools.","Ebel, Philipp; Bretschneider, Ulrich; Leimeister, Jan Marco","Information Systems Journal",="13501917",,="Sep2016","26","5","519","32","117419005","10.1111/isj.12103","Wiley-Blackwell","Article","Business planning; Information technology; Knowledge management; Computer software development; Industrial management; Custom Computer Programming Services; Computer systems design and related services (except video game design and development)","action design research; business model design; design support tools; online knowledge collaboration theory; virtual collaboration","This paper presents a framework for developing tool support for the design and management of new business models. Existing IT tools supporting the process of designing, innovating, and evaluating a company's business model are currently not leveraging the full potential of tool support, because they do not make use of theoretical and empirical knowledge around business model development. Against this backdrop, we analyze existing knowledge on business model design and management, resulting in a first systematization of the activities that are necessary for developing and managing new business models. In order to complement this knowledge and to identify the requirements for supporting these activities, a series of expert interviews is conducted. Based on the results of the interview series, a new business model development tool is created and evaluated. The learnings of this development process are then consolidated in a unified framework. This framework constitutes a new solution for systematically designing tool support for business model development and extends existing literature by highlighting the importance of collaboration between participants in a business model development project. It also provides designers of new business model development tool with an empirically based conceptualization to guide their efforts. [ABSTRACT FROM AUTHOR] Copyright of Information Systems Journal is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=117419005&site=ehost-live"
"Operations Management in the Age of the Sharing Economy: What Is Old and What Is New?","Benjaafar, Saif; Hu, Ming","Manufacturing & Service Operations Management",="15234614",,="Jan/Feb2020","22","1","93","9","141156731","10.1287/msom.2019.0803","INFORMS: Institute for Operations Research","Article","Sharing economy; Operations management; Work sharing; Business models; Management philosophy","dynamic matching; dynamic pricing; matching markets; on-demand rental networks; on-demand service platforms; peer-to-peer resource sharing; sharing economy","The sharing economy, a term we use to refer to business models built around on-demand access to products and services mediated by online platforms that match many small suppliers or service providers to many small buyers, has emerged as an important area of study in operations management. We first describe three ""canonical"" applications that have garnered much attention from the operations management community. We use these applications to highlight distinguishing features of sharing economy business models and to point out research questions that are new. Then we draw connections between classical operations management theory and models and those that have been used to study sharing economy applications. We do so to put in context some of the recent work on the sharing economy and to showcase the underlying modeling toolkit and identify opportunities for future research. [ABSTRACT FROM AUTHOR] Copyright of Manufacturing & Service Operations Management is the property of INFORMS: Institute for Operations Research and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=141156731&site=ehost-live"
